game_id,year,game_site,opp_rank,opp,opp_conf,result,pts_scored,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,tot_plays,tot_yds,avg_play,1st_downs,tot_fum,tot_int,tot_turn
9.09,2011,home,NULL,Texas A&M,Big 12,W,41,18,39,46.2,255,2,47,149,3.2,3,86,404,4.7,20,1,0,1
9.1,2011,away,25,Baylor,Big 12,L,38,36,51,70.6,447,0,36,158,4.4,5,87,605,7,29,2,1,3
9.11,2011,home,NULL,Iowa State,Big 12,W,26,22,45,48.9,256,0,45,253,5.6,2,90,509,5.7,25,1,3,4
9.12,2011,away,3,Oklahoma State,Big 12,L,10,27,50,54,250,0,33,108,3.3,1,83,358,4.3,24,3,2,5
9.13,2011,neutral,NULL,Iowa,Big 10,W,31,16,25,64,161,1,37,114,3.1,3,62,275,4.4,16,0,1,1
10.01,2010,home,NULL,Utah State,WAC,W,31,17,36,47.2,217,2,45,195,4.3,2,81,412,5.1,23,0,2,2
10.02,2010,home,17,Florida State,ACC,W,47,32,42,76.2,394,4,41,93,2.3,2,83,487,5.9,28,1,0,1
10.03,2010,home,NULL,Air Force,MWC,W,27,26,42,61.9,254,1,34,113,3.3,2,76,367,4.8,24,0,0,0
10.04,2010,away,NULL,Cincinnati,Big East,W,31,36,51,70.6,370,2,43,82,1.9,2,94,452,4.8,27,0,1,1
10.05,2010,neutral,21,Texas,Big 12,W,28,24,39,61.5,236,2,52,124,2.4,2,91,360,4,26,0,0,0
10.06,2010,home,NULL,Iowa State,Big 12,W,52,32,38,84.2,347,3,56,325,5.8,4,94,672,7.1,37,1,0,1
10.07,2010,away,18,Missouri,Big 12,L,27,32,50,64,303,3,25,99,4,1,75,402,5.4,22,1,2,3
10.08,2010,home,NULL,Colorado,Big 12,W,43,34,49,69.4,488,4,44,147,3.3,1,93,635,6.8,31,0,0,0
10.09,2010,away,NULL,Texas A&M,Big 12,L,19,36,60,60,290,1,44,72,1.6,1,104,362,3.5,29,0,1,1
10.1,2010,home,NULL,Texas Tech,Big 12,W,45,23,31,74.2,316,5,44,246,5.6,1,75,562,7.5,26,1,0,1
10.11,2010,away,NULL,Baylor,Big 12,W,53,28,42,66.7,353,3,37,109,2.9,2,79,462,5.8,24,1,1,2
10.12,2010,away,10,Oklahoma State,Big 12,W,47,37,62,59.7,468,4,45,120,2.7,1,107,588,5.5,28,0,3,3
10.13,2010,neutral,13,Nebraska,Big 12,W,23,23,41,56.1,342,1,38,112,2.9,1,79,454,5.7,19,0,1,1
10.14,2010,neutral,25,Connecticut,Big East,W,48,34,50,68,429,3,30,95,3.2,1,80,524,6.6,27,1,1,2
